LEGO,Theme,Set Number,Set Name,Release Date,Minifigures,Piece Count,MSRP,PPP,PPM,Dahlen,,,,Garrett,Mom,Dad,,
,,,,,,,,,,Owned,Collected,Complete,Rebuilt,Owned,Owned,Owned,,
TRUE,Agents,8631,Mission 1: Jetpack Pursuit,2008,2,78,$9.99,$0.13,$5.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Agents,8634,Mission 5: Turbocar Chase,2008,3,468,$49.99,$0.11,$16.66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Agents,8967,Gold Tooth's Getaway,2009,2,59,$9.99,$0.17,$5.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Alien Conquest,7050,Alien Defender,2011,2,97,$9.99,$0.10,$5.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Alien Conquest,7049,Alien Striker,2011,2,34,$4.99,$0.15,$2.50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Alien Conquest,7051,Tripod Invader,2011,2,159,$19.99,$0.13,$10.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Architecture,21002,Empire State Building,2009,0,77,$19.99,$0.26,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Architecture,21005,Fallingwater,2009,0,811,$99.99,$0.12,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Architecture,21003,Seattle Space Needle,2009,0,57,$19.99,$0.35,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Architecture,21006,The White House,2010,0,560,$49.99,$0.09,-,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Atlantis,8061,Gateway of the Squid,2010,3,337,$39.99,$0.12,$13.33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Atlantis,30042,Mini Sub Polybag,2010,1,30,$3.99,$0.13,$3.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Atlantis,8056,Monster Crab Clash,2010,1,62,$6.99,$0.11,$6.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Atlantis,8059,Seabed Scavenger,2010,2,109,$14.99,$0.14,$7.50,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Atlantis,8057,Wreck Raider,2010,2,55,$9.99,$0.18,$5.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Atlantis,7976,Ocean Speeder,2011,1,47,$4.99,$0.11,$4.99,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Brick Sketches,40386,Batman,2020,0,115,$16.99,$0.15,-,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
FALSE,Brick Sketches,40428,The Joker,2020,0,170,$16.99,$0.10,-,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,BrickHeadz,41589,Captain America,2017,0,79,$9.99,$0.13,-,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,BrickHeadz,41487,Lloyd,2017,0,102,$9.99,$0.10,-,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,BrickHeadz,41605,Thanos,2018,0,105,$9.99,$0.10,-,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
FALSE,BrickHeadz,40539,Ahsoka Tano,2022,0,164,$9.99,$0.06,-,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Castle,7948,Outpost Attack,2010,3,181,$19.99,$0.11,$6.66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Castle,7949,Prison Carriage Rescue,2010,3,37,$9.99,$0.27,$3.33,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Castle,6918,Blacksmith Attack,2011,2,95,$9.99,$0.11,$5.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Castle,70400,Forest Ambush,2013,4,74,$11.99,$0.16,$3.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Castle,70404,King's Castle,2013,7,961,$99.99,$0.10,$14.28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Castle,850889,Castle Dragons Accessory Set Blister Pack,2014,4,24,$14.99,$0.62,$3.75,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,Castle,5004419,Classic Knights Minifigure,2016,1,41,$0.00,$0.00,$0.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,City,60047,Police Station,2014,7,823,$99.99,$0.12,$14.28,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,City,60253,Ice Cream Truck,2020,2,192,$19.99,$0.10,$10.00,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,City,60283,Holiday Camper Van,2021,3,179,$19.99,$0.11,$6.66,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,
TRUE,City,60383,Electric Sports Car,2023,1,91,$9.99,$0.11,$9.99,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,
